outcode,elec_total_cons_kwh,elec_mean_cons_kwh,elec_median_cons_kwh
AB10,34784183.88500007,2697.4939034509557,1932.1999999995503
AB11,33113186.679999907,2526.57,1865.5
AB12,40266863.41900003,3164.8874808614346,2478.5
AB13,5651458.253000007,4418.653833463649,3483.700000000083
AB14,7910751.286999999,3411.2769672272525,2491.7999999998933
AB15,62145503.55900002,3375.821802324951,2633
AB16,34795877.83699991,2646.2755979161843,2203.600000000475
AB21,39821886.62897563,3080.5203549915395,2347.1000000005206
AB22,22277081.039999995,2919.6698610747044,2398.199999999657
AB23,17996888.514000002,3362.6473307174892,2653.5
AB24,48956404.160000026,2454.4472154818022,1766.8999999993443
AB25,30038248.50600006,2644.2120163732448,1752.899999999987
AB30,15034961.476000005,4235.2,3153.800000000089
AB31,31125041.405000027,4204.382197082267,3068.6999999995787
AB32,20592819.025000036,3578.25,2848.6999999997033
AB33,14035520.365999972,4861.628114305498,3473
AB34,14976245.395999976,4823.267438325274,3454.8000000000593
AB35,11158783.204999987,5395.929983075429,3547.5
AB36,1608890.6450000003,5012.120389408101,3664.5999999999954
AB37,3732886.1810000017,4719.198711757272,3079.899999999954
AB38,10019335.56399999,4341.133259965333,2988.5
AB39,29462896.038999982,3403.3609840591407,2624.600000000196
AB41,39748384.17599998,4008.5099007664357,2934.5
AB42,58906225.828000076,3485.1630474500103,2640.399999999169
AB43,43547127.85599999,3762.821036550591,2846.300000000522
AB44,6145739.737000007,3133.9825277919467,2558.5999999999935
AB45,22179196.71585351,3698.998785165695,2673.8000000002867
AB51,63006272.08,3712.147061980799,2812.5
AB52,11705841.300000014,4781.797916666672,3680.400000000169
AB53,23214684.493000004,4121.193767619387,2976.5
AB54,21857540.64000002,3977.714402183807,2826.6999999997283
AB55,15909358.984000009,3438.3745372811777,2534.199999999882
AB56,24261087.770999964,3234.3804520730523,2517.5999999999326
AL1,61005556.79000011,3599.147893215346,2704.2000000004136
AL10,41311893.75900016,3165.9049550923564,2522.899999999403
AL2,37454833.64099991,3754.494150060136,2917.6000000004797
AL3,44689015.93,3703.714232471399,2842.1000000006325
AL4,43489936.48299991,3760.153595279259,2935.399999999376
AL5,53258334.77899991,4235.592077222834,3224.5
AL6,25377719.86599997,4910.549509674917,3530.699999999658
AL7,49528233.50499989,3016.89,2439.3999999992443
AL8,21179390.51,3573.3744737641305,2851.3000000003094
AL9,22141086.52699998,4547.358087286913,3210.1999999997256
B1,33246923.434999987,4615.705044425932,3786.5
B10,22816302.61400002,3191.0912746853173,2532
B11,40551582.4,3164.878045656763,2468.1
B12,24639908.36300007,3344.1786594734076,2485.5999999998844
B13,52475538.471951135,3368.350887216839,2512.1999999999744
B14,57067090.13500015,3143.499511677875,2512.8999999991547
B15,31726925.181000043,4075.9153624100773,2812.899999999853
B16,44283077.64400004,3889.9400600843323,2897.5
B17,38938500.321999885,3490.363958587297,2586.1999999995096
B18,27027587.12100004,3706.9794432862486,2714.8999999999955
B19,24704946.01904886,3326.369465335783,2524
B2,2489372.3869999982,4988.72,4010.5
B20,40882315.63199996,3460.790284601707,2695.800000000514
B21,31076374.127000052,3213.689154808692,2513.6999999995573
B23,65392632.21700013,3339.937290821805,2555.2000000006287
B24,39557158.12999999,3304.691573099414,2572.600000000535
B25,19053253.61299999,3083.050746440128,2476.300000000265
B26,43733442.29799994,3079.1693514046287,2516.399999999333
B27,32387656.29300003,3191.5309709302355,2459.6999999995496
B28,37903915.56099998,3287.42,2686.6999999994923
B29,54203845.438999966,3396.0181341394627,2668.6
B3,13361382.734000001,5207.086022603274,4253.900000000204
B30,39004600.734999985,2972.6850647816464,2381.6999999994905
B31,75886148.43199992,3093.2274255900184,2525
B32,50185602.95,3032.729208665712,2460.2999999999092
B33,42628832.581999965,3057.8030687898977,2495.1999999995983
B34,25029291.47799996,3038.6416751244337,2478.6999999996156
B35,12519668.665000001,3034.3355950072714,2524.6999999999607
B36,45225792.551999845,3219.375893507962,2638.8999999993034
B37,49261858.54899999,3016.463079358275,2515.8999999992257
B38,29722724.047999915,3269.4669506104847,2613.800000000436
B4,4044010.9359999998,3312.0482686322684,2540.2000000000385
B42,31172146.982999984,3001.3621204506053,2473.300000000459
B43,38311554.41899998,3106.9300477657916,2542.600000000552
B44,45506556.55,3015.0769597164117,2513.8000000001207
B45,45774439.21099978,3297.395131177048,2611.3999999993216
B46,21453237.78999996,3753.8473823272025,2812.900000000258
B47,15781245.99,3596.46,2836.0999999997753
B48,9810987.454999998,3893.2489900793644,2786.299999999879
