outcode,gas_total_cons_kwh,gas_mean_cons_kwh,gas_median_cons_kwh
AB1,2341705.5,14915.321678607006,9644.512518645324
AB10,126784628.18302366,11787.33992032574,9315.65
AB11,97604253.66370276,9829.229976203702,7680
AB12,132170629.87706362,11937.37625334751,10712.67681773028
AB13,23922453.279439177,19869.147242059116,18043.667597681306
AB14,24863799.690943975,13338.948332051488,11342.363175861557
AB15,282113043.70438725,16981.462932907198,14940.284910557644
AB16,120957977.1786792,10496.179900961402,9805.688200135466
AB2,2168740.02,14268.026450487238,9788.757535825032
AB21,125281320.77613257,11867.132781674014,10394.329819501514
AB22,79796784.11519007,11762.497658489103,10588.040964649843
AB23,61511014.43,13357.440701979587,11993.072448968995
AB24,136779063.26573625,8807.976255118569,7107.747444715622
AB25,79551768.97520767,9343.642115951101,7078.215254627199
AB3,287584.72,19172.314944961734,19234.966113063238
AB30,17654175.746480215,13364.251132838921,12151.244856894016
AB31,58460021.256713256,15610.152538508213,14146.419597359867
AB32,70611610.30155927,15097.628886371449,14249.53198987059
AB34,413889.13916168624,21783.638903246643,19667.437506882514
AB36,86400.17619204934,17280.03523840987,19683.454965912846
AB37,137300.05544263675,27460.01108852735,19462.213813056234
AB38,15295606.013246838,14416.216789111064,12710.854831766448
AB39,94219744.82774176,13662.956036505475,12000.580632890329
AB41,71595697.07079983,13678.963903477232,12336.947272526053
AB42,154367473.50926858,12684.262408321165,11007.444633319743
AB43,91094435.14,13721.107868283778,11980.058263508969
AB44,22982208.706017356,13110.21603309604,11439.469021233183
AB45,45389423.36152522,13460.683084675333,11612.657796998721
AB51,150340212.71407598,13282.110850258501,11930.003704038465
AB53,27497968.90223657,12825.545196938698,11405.431920793211
AB54,27617021.258474942,12558.900072066823,10515.071134310532
AB55,43529580.1,13836.484457390272,12105.194662182714
AB56,83677770.17257524,13463.840735732138,11769.82911373536
AL1,195152861.2668203,13384.051935177307,11212.445814850957
AL10,140335660.50813243,11306.450250413505,9859.944538440257
AL2,130472659.22639923,13634.931468951743,12388.751514181433
AL3,159888646.2923237,14040.098901679286,12535.414309886273
AL4,144686574.30851948,13314.307012838823,12066.39369700545
AL5,198705916.09983206,16779.759846295565,14620.729009201686
AL6,79694862.00088724,17431.07217867175,15467.168557099196
AL7,140989487.22127816,9650.204464153194,8830.802190434099
AL8,71130005.14455466,13307.765228167382,11826.12700097216
AL9,71123398.16387893,16905.965810287362,13947.656163791431
