outcode,gas_total_cons_kwh,gas_mean_cons_kwh,gas_median_cons_kwh,Latitude_Longitude
AB1,2341705.5,14915.321678607006,9644.512518645324,"(57.1456496, -2.107086)"
AB10,126784628.18302366,11787.33992032574,9315.65,"(57.1363479, -2.1147281)"
AB11,97604253.66370276,9829.229976203702,7680.0,"(51.4765615, -0.473901)"
AB12,132170629.87706362,11937.37625334751,10712.67681773028,"(51.4765368, -0.481525)"
AB13,23922453.279439177,19869.147242059116,18043.667597681306,"(51.4764944, -0.4904462)"
AB14,24863799.690943975,13338.948332051488,11342.363175861556,"(57.0964786, -2.2713047)"
AB15,282113043.70438725,16981.462932907198,14940.284910557644,"(57.1217127, -2.157644)"
AB16,120957977.1786792,10496.179900961402,9805.688200135466,"(57.163595, -2.1391572)"
AB2,2168740.02,14268.026450487238,9788.757535825032,"(51.980002150000004, -0.22664399980418212)"
AB21,125281320.77613255,11867.132781674014,10394.329819501514,"(57.2042641, -2.2153835)"
AB22,79796784.11519007,11762.497658489105,10588.040964649845,"(57.1916625, -2.1303395)"
AB23,61511014.43,13357.440701979587,11993.072448968996,"(57.2507861, -2.0617148)"
AB24,136779063.26573625,8807.976255118569,7107.747444715622,"(57.1585212, -2.0956235)"
AB25,79551768.97520767,9343.6421159511,7078.215254627199,"(57.1534381, -2.1110331)"
AB3,287584.72,19172.314944961738,19234.96611306324,"(51.023134299999995, -3.0765783915022147)"
AB30,17654175.746480215,13364.25113283892,12151.244856894016,"(56.8996672, -2.4503642)"
AB31,58460021.256713256,15610.152538508211,14146.419597359867,"(57.0607991, -2.5207163)"
AB32,70611610.30155927,15097.628886371447,14249.53198987059,"(57.1526726, -2.2990509)"
AB34,413889.13916168624,21783.638903246643,19667.43750688251,"(52.5420172, 0.5855472)"
AB36,86400.17619204934,17280.03523840987,19683.45496591285,"(57.1639803, -3.1685216)"
AB37,137300.05544263677,27460.01108852735,19462.21381305623,"(57.4319525, -3.3663092)"
