Lower tier local authorities Code,Accommodation type (5 categories),Observation
E06000001,Whole house or bungalow: Detached,8086
E06000001,Whole house or bungalow: Semi-detached,14537
E06000001,Whole house or bungalow: Terraced,13469
E06000001,"Flat, maisonette or apartment",4725
E06000001,A caravan or other mobile or temporary structure,115
E06000002,Whole house or bungalow: Detached,10389
E06000002,Whole house or bungalow: Semi-detached,25485
E06000002,Whole house or bungalow: Terraced,16768
E06000002,"Flat, maisonette or apartment",7569
E06000002,A caravan or other mobile or temporary structure,51
E06000003,Whole house or bungalow: Detached,12449
E06000003,Whole house or bungalow: Semi-detached,27942
E06000003,Whole house or bungalow: Terraced,15666
E06000003,"Flat, maisonette or apartment",5496
E06000003,A caravan or other mobile or temporary structure,84
E06000004,Whole house or bungalow: Detached,22209
E06000004,Whole house or bungalow: Semi-detached,35494
E06000004,Whole house or bungalow: Terraced,18298
E06000004,"Flat, maisonette or apartment",7677
E06000004,A caravan or other mobile or temporary structure,79
E06000005,Whole house or bungalow: Detached,9331
E06000005,Whole house or bungalow: Semi-detached,19148
E06000005,Whole house or bungalow: Terraced,13937
E06000005,"Flat, maisonette or apartment",6424
E06000005,A caravan or other mobile or temporary structure,78
E06000006,Whole house or bungalow: Detached,11746
E06000006,Whole house or bungalow: Semi-detached,19285
E06000006,Whole house or bungalow: Terraced,18675
E06000006,"Flat, maisonette or apartment",6119
E06000006,A caravan or other mobile or temporary structure,127
E06000007,Whole house or bungalow: Detached,22273
E06000007,Whole house or bungalow: Semi-detached,36508
E06000007,Whole house or bungalow: Terraced,20642
E06000007,"Flat, maisonette or apartment",11034
E06000007,A caravan or other mobile or temporary structure,82
E06000008,Whole house or bungalow: Detached,8945
E06000008,Whole house or bungalow: Semi-detached,17343
E06000008,Whole house or bungalow: Terraced,25507
E06000008,"Flat, maisonette or apartment",6927
E06000008,A caravan or other mobile or temporary structure,44
E06000009,Whole house or bungalow: Detached,6207
E06000009,Whole house or bungalow: Semi-detached,25548
E06000009,Whole house or bungalow: Terraced,19105
E06000009,"Flat, maisonette or apartment",13776
E06000009,A caravan or other mobile or temporary structure,154
E06000010,Whole house or bungalow: Detached,9676
E06000010,Whole house or bungalow: Semi-detached,33932
E06000010,Whole house or bungalow: Terraced,53953
E06000010,"Flat, maisonette or apartment",17749
E06000010,A caravan or other mobile or temporary structure,162
E06000011,Whole house or bungalow: Detached,53673
E06000011,Whole house or bungalow: Semi-detached,55372
E06000011,Whole house or bungalow: Terraced,28943
E06000011,"Flat, maisonette or apartment",13536
E06000011,A caravan or other mobile or temporary structure,542
E06000012,Whole house or bungalow: Detached,15597
E06000012,Whole house or bungalow: Semi-detached,24186
E06000012,Whole house or bungalow: Terraced,22044
E06000012,"Flat, maisonette or apartment",7919
E06000012,A caravan or other mobile or temporary structure,78
E06000013,Whole house or bungalow: Detached,25763
E06000013,Whole house or bungalow: Semi-detached,30620
E06000013,Whole house or bungalow: Terraced,9819
E06000013,"Flat, maisonette or apartment",6412
E06000013,A caravan or other mobile or temporary structure,559
E06000014,Whole house or bungalow: Detached,19192
E06000014,Whole house or bungalow: Semi-detached,30614
E06000014,Whole house or bungalow: Terraced,20365
E06000014,"Flat, maisonette or apartment",15002
E06000014,A caravan or other mobile or temporary structure,289
E06000015,Whole house or bungalow: Detached,25428
E06000015,Whole house or bungalow: Semi-detached,41273
E06000015,Whole house or bungalow: Terraced,23082
E06000015,"Flat, maisonette or apartment",15574
E06000015,A caravan or other mobile or temporary structure,295
E06000016,Whole house or bungalow: Detached,14467
E06000016,Whole house or bungalow: Semi-detached,46365
E06000016,Whole house or bungalow: Terraced,37181
E06000016,"Flat, maisonette or apartment",29306
E06000016,A caravan or other mobile or temporary structure,69
E06000017,Whole house or bungalow: Detached,7753
E06000017,Whole house or bungalow: Semi-detached,4710
E06000017,Whole house or bungalow: Terraced,2826
E06000017,"Flat, maisonette or apartment",1270
E06000017,A caravan or other mobile or temporary structure,135
E06000018,Whole house or bungalow: Detached,19464
E06000018,Whole house or bungalow: Semi-detached,41519
E06000018,Whole house or bungalow: Terraced,34147
E06000018,"Flat, maisonette or apartment",29461
E06000018,A caravan or other mobile or temporary structure,154
E06000019,Whole house or bungalow: Detached,35100
E06000019,Whole house or bungalow: Semi-detached,23379
E06000019,Whole house or bungalow: Terraced,13535
E06000019,"Flat, maisonette or apartment",9977
E06000019,A caravan or other mobile or temporary structure,836
E06000020,Whole house or bungalow: Detached,23899
E06000020,Whole house or bungalow: Semi-detached,29065
E06000020,Whole house or bungalow: Terraced,15539
E06000020,"Flat, maisonette or apartment",7724
E06000020,A caravan or other mobile or temporary structure,283
E06000021,Whole house or bungalow: Detached,16542
E06000021,Whole house or bungalow: Semi-detached,50860
E06000021,Whole house or bungalow: Terraced,30437
E06000021,"Flat, maisonette or apartment",12513
E06000021,A caravan or other mobile or temporary structure,48
E06000022,Whole house or bungalow: Detached,17678
E06000022,Whole house or bungalow: Semi-detached,22713
E06000022,Whole house or bungalow: Terraced,21579
E06000022,"Flat, maisonette or apartment",16969
E06000022,A caravan or other mobile or temporary structure,311
E06000023,Whole house or bungalow: Detached,11550
E06000023,Whole house or bungalow: Semi-detached,51061
E06000023,Whole house or bungalow: Terraced,61440
E06000023,"Flat, maisonette or apartment",67403
E06000023,A caravan or other mobile or temporary structure,184
E06000024,Whole house or bungalow: Detached,31344
E06000024,Whole house or bungalow: Semi-detached,28469
E06000024,Whole house or bungalow: Terraced,14314
E06000024,"Flat, maisonette or apartment",19400
E06000024,A caravan or other mobile or temporary structure,1119
E06000025,Whole house or bungalow: Detached,31401
E06000025,Whole house or bungalow: Semi-detached,40784
E06000025,Whole house or bungalow: Terraced,30133
E06000025,"Flat, maisonette or apartment",14998
E06000025,A caravan or other mobile or temporary structure,785
E06000026,Whole house or bungalow: Detached,13017
E06000026,Whole house or bungalow: Semi-detached,34537
E06000026,Whole house or bungalow: Terraced,37592
E06000026,"Flat, maisonette or apartment",29082
E06000026,A caravan or other mobile or temporary structure,330
E06000027,Whole house or bungalow: Detached,14125
E06000027,Whole house or bungalow: Semi-detached,15617
