Local authority code,Total annual income (£)
E06000047,41400
E06000047,41100
E06000047,44300
E06000047,35400
E06000047,34500
E06000047,32700
E06000047,41600
E06000047,32400
E06000047,31800
E06000047,36400
E06000047,31800
E06000047,36400
E06000047,46500
E06000047,37900
E06000047,39100
E06000047,39500
E06000047,33900
E06000047,29900
E06000047,36900
E06000047,42800
E06000047,35200
E06000047,50400
E06000047,41900
E06000047,38800
E06000047,35000
E06000047,37100
E06000047,38000
E06000047,45400
E06000047,32600
E06000047,37500
E06000047,34900
E06000047,29500
E06000047,58700
E06000047,33600
E06000047,31700
E06000047,27400
E06000047,38700
E06000047,34400
E06000047,29600
E06000047,32800
E06000047,43900
E06000047,38300
E06000047,37600
E06000047,39300
E06000047,32100
E06000047,35600
E06000047,37100
E06000047,33900
E06000047,34200
E06000047,31100
E06000047,31600
E06000047,37000
E06000047,33100
E06000047,48000
E06000047,33400
E06000047,38000
E06000047,36700
E06000047,29700
E06000047,30200
E06000047,45600
E06000047,30000
E06000047,32500
E06000047,35600
E06000047,37400
E06000047,40600
E06000047,40100
E06000005,49800
E06000005,39000
E06000005,40700
E06000005,32500
E06000005,35000
E06000005,36100
E06000005,34900
E06000005,33000
E06000005,35500
E06000005,53600
E06000005,50000
E06000005,31000
E06000005,34600
E06000005,36400
E06000005,48600
E06000001,40200
E06000001,29200
E06000001,30200
E06000001,30900
E06000001,39900
E06000001,29800
E06000001,31200
E06000001,27700
E06000001,32600
E06000001,41900
E06000001,27000
E06000001,44300
E06000002,24900
E06000002,28800
E06000002,28600
E06000002,29400
E06000002,35500
E06000002,35100
E06000002,27800
E06000002,32900
E06000002,40200
E06000002,28700
E06000002,29600
E06000002,42800
E06000002,44000
E06000002,35800
E06000002,42800
E06000002,48000
E06000002,35500
E06000002,36700
E06000002,48000
E06000048,33100
E06000048,39900
E06000048,36500
E06000048,48000
E06000048,36000
E06000048,38800
E06000048,42900
E06000048,36500
E06000048,29500
E06000048,27900
E06000048,43800
E06000048,36800
E06000048,33700
E06000048,38000
E06000048,51700
E06000048,36000
E06000048,34100
E06000048,57700
E06000048,40800
E06000048,33000
E06000048,42400
E06000048,25900
E06000048,34600
E06000048,30100
E06000048,38500
E06000048,44800
E06000048,53300
E06000048,39900
E06000048,34100
E06000048,38200
E06000048,37800
E06000048,37800
E06000048,50200
E06000048,60100
E06000048,42800
E06000048,49100
E06000048,36900
E06000048,40400
E06000048,50100
E06000048,42500
E06000003,28800
E06000003,33000
E06000003,31000
E06000003,41700
E06000003,31200
E06000003,39500
E06000003,40000
E06000003,28300
E06000003,34000
E06000003,31700
E06000003,36800
E06000003,30100
E06000003,34500
E06000003,32000
E06000003,33200
E06000003,46100
E06000003,49100
E06000003,37300
E06000003,36500
E06000004,43200
E06000004,33800
E06000004,30700
E06000004,35300
E06000004,49100
E06000004,45800
E06000004,36400
E06000004,30500
E06000004,34800
E06000004,30900
E06000004,40200
E06000004,32800
E06000004,40100
E06000004,33400
E06000004,41400
E06000004,40800
E06000004,29400
E06000004,34200
E06000004,34800
E06000004,29400
E06000004,45900
