Postcode Districts,Count
AL1,39038
AL10,38933
AL2,24211
AL3,29620
AL4,28431
AL5,31674
AL6,12336
AL7,36930
AL8,13596
AL9,11706
B1,10028
B10,28298
B11,47947
B12,21832
B13,38683
B14,43289
B15,20567
B16,25705
B17,27112
B18,17580
B19,24762
B2,501
B20,37142
B21,30467
B23,48328
B24,29757
B25,18043
B26,34601
B27,26620
B28,32624
B29,46161
B3,3003
B30,29603
B31,58045
B32,39717
B33,37615
B34,20525
B35,9897
B36,36884
B37,37674
B38,21117
B4,6979
B40,2
B42,25081
B43,30210
B44,37742
B45,32452
B46,12796
B47,10163
B48,6055
B49,10286
B5,13122
B50,6979
B6,20823
B60,27871
B61,26392
B62,25549
B63,37145
B64,18504
B65,24867
B66,26576
B67,32610
B68,33642
B69,31817
B7,9930
B70,34058
B71,33381
B72,9798
B73,23353
B74,32473
B75,27587
B76,21306
B77,57209
B78,24797
B79,24396
B8,46609
B80,7271
B9,27314
B90,49616
B91,33843
B92,37070
B93,20066
B94,7680
B95,6355
B96,5290
B97,35082
B98,50297
BA1,42248
BA10,3674
BA11,35288
BA12,29448
BA13,21944
BA14,52809
BA15,14068
BA16,13966
BA2,80404
BA20,11894
BA21,36198
BA22,18988
BA3,37449
BA4,18468
BA5,19145
BA6,13323
BA7,3919
BA8,4387
BA9,8654
BB1,70613
BB10,41309
BB11,25043
BB12,36252
BB18,17251
BB2,62971
BB3,34084
BB4,42344
BB5,62932
BB6,14868
BB7,35630
BB8,23127
BB9,49959
BD1,5960
BD10,28116
BD11,11584
BD12,16899
BD13,26707
BD14,9010
BD15,16973
BD16,25425
BD17,18581
BD18,27792
BD19,22589
BD2,31563
BD20,38205
BD21,27003
BD22,29872
BD23,30122
BD24,5269
BD3,36000
BD4,32572
BD5,32058
BD6,31088
BD7,36192
BD8,34150
BD9,31539
BH1,23696
BH10,20924
BH11,20871
BH12,36169
BH13,8033
BH14,25208
BH15,35656
BH16,16137
BH17,23043
BH18,11940
BH19,11168
BH2,9550
BH20,20325
BH21,42651
BH22,27642
BH23,55303
BH24,24892
BH25,25637
BH3,5626
BH31,13654
BH4,9624
BH5,11263
BH6,23203
BH7,11710
BH8,32124
BH9,32568
BL0,17308
BL1,69352
BL2,47216
BL3,71883
BL4,35440
BL5,27465
BL6,31311
BL7,15174
BL8,36145
BL9,52307
BN1,84834
BN10,19916
BN11,34441
BN12,22675
BN13,30601
BN14,31088
BN15,28220
BN16,29858
BN17,33161
BN18,14259
BN2,94305
BN20,21272
BN21,26270
BN22,33589
BN23,28609
BN24,10644
BN25,23959
BN26,13160
BN27,32317
BN3,80963
BN41,21373
BN42,10759
BN43,24263
BN44,10012
BN45,614
BN5,8038
BN6,19203
BN7,20330
BN8,16084
BN9,13906
BR1,60642
BR2,49627
BR3,49899
BR4,19761
BR5,48738
BR6,48041
BR7,18796
BR8,23730
BS1,18751
BS10,30605
BS11,19089
BS13,32398
BS14,30930
BS15,49775
BS16,91268
BS2,19401
BS20,32907
BS21,23557
BS22,38031
BS23,35965
BS24,24816
BS25,6644
BS26,4941
BS27,7499
BS28,3316
BS29,2909
BS3,41231
BS30,30085
BS31,24038
BS32,24755
BS34,36399
BS35,24401
BS36,16623
BS37,40910
BS39,17349
BS4,51717
BS40,13753
BS41,6424
BS48,23524
BS49,12523
BS5,57433
BS6,33985
BS7,44446
BS8,27237
BS9,33370
CA1,25032
CA10,14421
CA11,23408
CA12,7451
CA13,15240
CA14,35870
CA15,16133
CA16,6407
CA17,4926
CA18,275
CA19,933
CA2,40609
CA20,3171
CA21,730
CA22,8710
CA23,1396
CA24,987
CA25,5911
CA26,3483
CA27,1482
CA28,27851
CA3,14206
CA4,9702
CA5,7230
CA6,9186
CA7,22745
CA8,10099
CA9,2081
CB1,53549
CB10,15142
CB11,19042
CB2,29687
CB21,15880
CB22,25778
CB23,36052
CB24,36901
CB25,19054
CB3,18818
CB4,44345
CB5,13530
CB6,39737
CB7,28702
CB8,34600
CB9,33005
CF10,17423
CF11,39159
CF14,78050
CF15,18530
CF23,47596
CF24,59343
CF3,46038
CF31,45326
CF32,31473
CF33,14928
CF34,20017
CF35,21328
CF36,15950
CF37,38802
CF38,23460
CF39,29009
CF40,20090
CF41,10666
CF42,13353
CF43,11423
CF44,40973
CF45,19383
CF46,14524
CF47,21962
CF48,26814
CF5,68975
CF61,9673
CF62,43974
CF63,21650
CF64,37473
CF71,9573
CF72,27959
CF81,16030
CF82,20158
CF83,54568
CH1,32962
CH2,35674
CH3,36541
CH4,34818
CH41,19607
CH42,32616
CH43,37830
CH44,29347
CH45,30179
CH46,25286
CH47,10819
CH48,14930
CH49,29568
CH5,42342
CH6,17695
CH60,13052
CH61,17121
CH62,30310
CH63,29359
CH64,19185
CH65,30570
CH66,35918
CH7,50454
CH8,20790
CM0,17900
CM1,69427
CM11,19059
CM12,20661
CM13,25357
CM14,21391
CM15,23950
CM16,23929
CM17,25906
CM18,26013
CM19,20828
CM2,61042
CM20,25928
CM21,11388
CM22,16134
CM23,43855
CM24,8715
CM3,56126
CM4,10413
CM5,11784
CM6,29985
CM7,50973
CM77,15875
CM8,35665
CM9,35361
CM99,1
CO1,18035
CO10,50311
CO11,13965
CO12,23460
CO13,12827
CO14,7178
CO15,45001
CO16,26562
CO2,40911
CO3,32840
CO4,53273
CO5,29501
CO6,28977
CO7,35021
CO8,2406
CO9,27821
CR0,170304
CR2,50362
CR3,31017
CR4,64887
CR5,31963
CR6,10322
CR7,46951
CR8,33370
CR9,314
CT1,32129
CT10,25161
CT11,29972
CT12,19072
CT13,8511
CT14,35532
CT15,13361
CT16,21094
CT17,22278
CT18,14893
CT19,28300
CT2,32331
CT20,23772
CT21,17597
CT3,20655
CT4,17187
CT5,33165
CT6,40490
CT7,12129
CT8,7903
CT9,46355
CV1,35938
CV10,56443
CV11,41423
CV12,32098
CV13,11056
CV2,68128
CV21,40175
CV22,39801
CV23,27656
CV3,70203
CV31,34419
CV32,32914
CV33,8379
CV34,35670
CV35,26869
CV36,10446
CV37,45606
CV4,37316
CV47,20172
CV5,47083
CV6,94111
CV7,29308
CV8,31272
CV9,22695
CW1,44804
CW10,15609
CW11,27046
CW12,33378
CW2,44045
CW3,9624
CW4,10867
CW5,33192
CW6,13616
CW7,34565
CW8,40289
CW9,35219
DA1,65369
DA10,10889
DA11,41402
DA12,49484
DA13,14332
DA14,23138
DA15,29748
DA16,37486
DA17,19413
DA18,5202
DA2,24260
DA3,17119
DA4,9428
DA5,21268
DA6,11057
DA7,36100
DA8,38275
DA9,15244
DE1,16419
DE11,46765
DE12,22087
DE13,43275
DE14,35361
DE15,25010
DE21,57647
DE22,48751
DE23,66788
DE24,59999
DE3,18647
DE4,34141
DE45,8047
DE5,22493
DE55,54108
DE56,39397
DE6,26620
DE65,24508
DE7,51203
DE72,20451
DE73,20930
DE74,12927
DE75,18655
DG14,5
DG16,55
DH1,52550
DH2,30462
DH3,26738
DH4,35003
DH5,21235
DH6,35115
DH7,42740
DH8,39859
DH9,37251
DL1,47914
DL10,17998
DL11,4847
DL12,12362
DL13,13578
DL14,37650
DL15,23077
DL16,22357
DL17,17980
DL2,18752
DL3,43258
DL4,10100
DL5,29491
DL6,15701
DL7,15669
DL8,18653
DL9,14598
DN1,9720
DN10,12593
DN11,29658
DN12,24468
DN14,48962
DN15,37208
DN16,32771
DN17,36776
DN18,12772
DN19,6379
DN2,24668
DN20,19197
DN21,39038
DN22,37404
DN3,30173
DN31,9315
DN32,28067
DN33,20383
DN34,19127
DN35,32616
DN36,20537
DN37,20989
DN38,2885
DN39,2891
DN4,55574
DN40,12435
DN41,6606
DN5,40265
DN6,30952
DN7,24239
DN8,18395
DN9,21660
DT1,21364
DT10,12047
DT11,30237
DT2,25912
DT3,24759
DT4,37399
DT5,13558
DT6,21781
DT7,5568
DT8,6065
DT9,22329
DY1,35229
DY10,37000
DY11,32221
DY12,12113
DY13,22918
DY14,8662
DY2,36281
DY3,34909
DY4,48224
DY5,42705
DY6,28847
DY7,7872
DY8,50930
DY9,31648
E1,78961
E10,47365
E11,56041
E12,42759
E13,51756
E14,108214
E15,58450
E16,61514
E17,113053
E18,20625
E1W,14644
E2,50134
E20,9677
E3,67713
E4,66495
E5,49018
E6,84299
E7,53871
E8,42334
E9,40992
EC1A,1282
EC1M,1595
EC1N,2495
EC1R,4904
EC1V,15298
EC1Y,3965
EC2A,2058
EC2M,108
EC2N,26
EC2R,18
EC2V,23
EC2Y,3330
EC3A,32
EC3M,2
EC3N,350
EC3R,319
EC3V,22
EC4A,383
EC4M,164
EC4N,42
EC4R,50
EC4V,572
EC4Y,226
EN1,47936
EN10,18059
EN11,22483
EN2,31275
EN3,61338
EN4,27679
EN5,39898
EN6,30308
EN7,21931
EN8,39368
EN9,25310
EX1,27669
EX10,17692
EX11,9577
EX12,9854
EX13,13580
EX14,22222
EX15,23819
EX16,33738
EX17,20542
EX18,3287
EX19,3789
EX2,44912
EX20,22305
EX21,4649
EX22,11860
EX23,16658
EX24,3869
EX3,4935
EX31,28411
EX32,24250
EX33,10293
EX34,16608
EX35,1632
EX36,10045
EX37,3783
EX38,8421
EX39,39461
EX4,60690
EX5,26350
EX6,14975
EX7,14638
EX8,38437
EX9,6970
FY1,34436
FY2,24079
FY3,31870
FY4,44476
